user_count,avg_response_time,good_throughput,bad_throughput,total_throughput,drop_percentage,server_0_utilization,ci_90_lower,ci_90_upper,ci_95_lower,ci_95_upper,ci_99_lower,ci_99_upper
5,0.0364,0.833333,0,0.833333,0,2.91667,0.0364,0.0364,0.0364,0.0364,0.0364,0.0364
10,0.03815,1.66667,0,1.66667,0,5.83333,0.03815,0.03815,0.03815,0.03815,0.03815,0.03815
15,0.0399,2.5,0,2.5,0,8.75,0.0399,0.0399,0.0399,0.0399,0.0399,0.0399
20,0.04165,3.33333,0,3.33333,0,11.6667,0.04165,0.04165,0.04165,0.04165,0.04165,0.04165
25,0.0434,4.16667,0,4.16667,0,14.5833,0.0434,0.0434,0.0434,0.0434,0.0434,0.0434
30,0.04515,5,0,5,0,17.5,0.04515,0.04515,0.04515,0.04515,0.04515,0.04515
35,0.0469,5.83333,0,5.83333,0,20.4167,0.0469,0.0469,0.0469,0.0469,0.0469,0.0469
40,0.04865,6.66667,0,6.66667,0,23.3333,0.04865,0.04865,0.04865,0.04865,0.04865,0.04865
45,0.0504,7.5,0,7.5,0,26.25,0.0504,0.0504,0.0504,0.0504,0.0504,0.0504
50,0.05215,8.33333,0,8.33333,0,29.1667,0.05215,0.05215,0.05215,0.05215,0.05215,0.05215
55,0.0539,9.16667,0,9.16667,0,32.0833,0.0539,0.0539,0.0539,0.0539,0.0539,0.0539
60,0.05565,10,0,10,0,35,0.05565,0.05565,0.05565,0.05565,0.05565,0.05565
65,0.0574,10.8333,0,10.8333,0,37.9167,0.0574,0.0574,0.0574,0.0574,0.0574,0.0574
70,0.05915,11.6667,0,11.6667,0,40.8333,0.05915,0.05915,0.05915,0.05915,0.05915,0.05915
75,0.0609,12.5,0,12.5,0,43.75,0.0609,0.0609,0.0609,0.0609,0.0609,0.0609
80,0.06265,13.3333,0,13.3333,0,46.6667,0.06265,0.06265,0.06265,0.06265,0.06265,0.06265
85,0.0644,14.1667,0,14.1667,0,49.5833,0.0644,0.0644,0.0644,0.0644,0.0644,0.0644
90,0.06615,15,0,15,0,52.5,0.06615,0.06615,0.06615,0.06615,0.06615,0.06615
95,0.0679,15.8333,0,15.8333,0,55.4167,0.0679,0.0679,0.0679,0.0679,0.0679,0.0679
100,0.06965,16.6667,0,16.6667,0,58.3333,0.06965,0.06965,0.06965,0.06965,0.06965,0.06965
105,0.0714,17.5,0,17.5,0,61.25,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
110,0.07315,18.3333,0,18.3333,0,64.1667,0.07315,0.07315,0.07315,0.07315,0.07315,0.07315
115,0.0749,19.1667,0,19.1667,0,67.0833,0.0749,0.0749,0.0749,0.0749,0.0749,0.0749
120,0.07665,20,0,20,0,70,0.07665,0.07665,0.07665,0.07665,0.07665,0.07665
125,0.0784208,20.8233,0,20.8233,0,72.8867,0.0784208,0.0784208,0.0784208,0.0784208,0.0784208,0.0784208
130,0.0802056,21.64,0,21.64,0,75.745,0.0802056,0.0802056,0.0802056,0.0802056,0.0802056,0.0802056
135,0.0819905,22.4567,0,22.4567,0,78.6033,0.0819905,0.0819905,0.0819905,0.0819905,0.0819905,0.0819905
140,0.0837754,23.2733,0,23.2733,0,81.4617,0.0837754,0.0837754,0.0837754,0.0837754,0.0837754,0.0837754
145,0.0855604,24.08,0.01,24.09,0,84.32,0.0855604,0.0855604,0.0855604,0.0855604,0.0855604,0.0855604
150,0.0873454,24.88,0.0266667,24.9067,0,87.1783,0.0873454,0.0873454,0.0873454,0.0873454,0.0873454,0.0873454
155,0.0891305,25.68,0.0433333,25.7233,0,90.0367,0.0891305,0.0891305,0.0891305,0.0891305,0.0891305,0.0891305
160,0.0909156,26.48,0.06,26.54,0,92.895,0.0909156,0.0909156,0.0909156,0.0909156,0.0909156,0.0909156
165,0.0927007,27.28,0.0766667,27.3567,0,95.7533,0.0927007,0.0927007,0.0927007,0.0927007,0.0927007,0.0927007
170,0.0944859,28.08,0.0933333,28.1733,0,98.6117,0.0944859,0.0944859,0.0944859,0.0944859,0.0944859,0.0944859
175,0.185334,28.46,0.11,28.57,0,100,0.185334,0.185334,0.185334,0.185334,0.185334,0.185334
180,0.360221,28.4433,0.126667,28.57,0,100,0.360221,0.360221,0.360221,0.360221,0.360221,0.360221
185,0.535005,28.4267,0.143333,28.57,0,100,0.535005,0.535005,0.535005,0.535005,0.535005,0.535005
190,0.709687,28.41,0.16,28.57,0,100,0.709687,0.709687,0.709687,0.709687,0.709687,0.709687
195,0.884267,28.3933,0.176667,28.57,0,100,0.884267,0.884267,0.884267,0.884267,0.884267,0.884267
200,1.05874,28.3767,0.193333,28.57,0,100,1.05874,1.05874,1.05874,1.05874,1.05874,1.05874
205,1.23312,28.36,0.21,28.57,0,100,1.23312,1.23312,1.23312,1.23312,1.23312,1.23312
210,1.40739,28.3433,0.226667,28.57,0,100,1.40739,1.40739,1.40739,1.40739,1.40739,1.40739
215,1.58157,28.3267,0.243333,28.57,0,100,1.58157,1.58157,1.58157,1.58157,1.58157,1.58157
220,1.75564,28.31,0.26,28.57,0,100,1.75564,1.75564,1.75564,1.75564,1.75564,1.75564
225,1.9296,28.2933,0.276667,28.57,0,100,1.9296,1.9296,1.9296,1.9296,1.9296,1.9296
230,2.10347,28.2767,0.293333,28.57,0,100,2.10347,2.10347,2.10347,2.10347,2.10347,2.10347
235,2.27723,28.26,0.31,28.57,0,100,2.27723,2.27723,2.27723,2.27723,2.27723,2.27723
240,2.45089,28.2433,0.326667,28.57,0,100,2.45089,2.45089,2.45089,2.45089,2.45089,2.45089
245,2.62445,28.2267,0.343333,28.57,0,100,2.62445,2.62445,2.62445,2.62445,2.62445,2.62445
250,2.79791,28.21,0.36,28.57,0,100,2.79791,2.79791,2.79791,2.79791,2.79791,2.79791
255,2.97126,28.1933,0.376667,28.57,0,100,2.97126,2.97126,2.97126,2.97126,2.97126,2.97126
260,3.14452,28.1767,0.393333,28.57,0,100,3.14452,3.14452,3.14452,3.14452,3.14452,3.14452
265,3.31767,28.16,0.41,28.57,0,100,3.31767,3.31767,3.31767,3.31767,3.31767,3.31767
270,3.49072,28.1433,0.426667,28.57,0,100,3.49072,3.49072,3.49072,3.49072,3.49072,3.49072
275,3.66366,28.1267,0.443333,28.57,0,100,3.66366,3.66366,3.66366,3.66366,3.66366,3.66366
280,3.83651,28.11,0.46,28.57,0,100,3.83651,3.83651,3.83651,3.83651,3.83651,3.83651
285,4.00925,28.0933,0.476667,28.57,0,100,4.00925,4.00925,4.00925,4.00925,4.00925,4.00925
290,4.18189,28.0767,0.493333,28.57,0,100,4.18189,4.18189,4.18189,4.18189,4.18189,4.18189
295,4.35443,28.06,0.51,28.57,0,100,4.35443,4.35443,4.35443,4.35443,4.35443,4.35443
300,4.52686,28.0433,0.526667,28.57,0,100,4.52686,4.52686,4.52686,4.52686,4.52686,4.52686
305,4.6992,28.0267,0.543333,28.57,0,100,4.6992,4.6992,4.6992,4.6992,4.6992,4.6992
310,4.87143,28.01,0.56,28.57,0,100,4.87143,4.87143,4.87143,4.87143,4.87143,4.87143
315,5.04356,0.473333,28.0967,28.57,0,100,5.04356,5.04356,5.04356,5.04356,5.04356,5.04356
320,5.21559,0.473333,28.0967,28.57,0,100,5.21559,5.21559,5.21559,5.21559,5.21559,5.21559
325,5.38751,0.473333,28.0967,28.57,0,100,5.38751,5.38751,5.38751,5.38751,5.38751,5.38751
330,5.55934,0.473333,28.0967,28.57,0,100,5.55934,5.55934,5.55934,5.55934,5.55934,5.55934
335,5.73106,0.473333,28.0967,28.57,0,100,5.73106,5.73106,5.73106,5.73106,5.73106,5.73106
340,5.90268,0.473333,28.0967,28.57,0,100,5.90268,5.90268,5.90268,5.90268,5.90268,5.90268
345,6.07419,0.473333,28.0967,28.57,0,100,6.07419,6.07419,6.07419,6.07419,6.07419,6.07419
350,6.24561,0.473333,28.0967,28.57,0,100,6.24561,6.24561,6.24561,6.24561,6.24561,6.24561
