user_count,avg_response_time,good_throughput,bad_throughput,total_throughput,drop_percentage,server_0_utilization,ci_90_lower,ci_90_upper,ci_95_lower,ci_95_upper,ci_99_lower,ci_99_upper
5,0.5,0.91,0,0.91,0,4.55,0.5,0.5,0.5,0.5,0.5,0.5
10,0.5,1.82,0,1.82,0,9.1,0.5,0.5,0.5,0.5,0.5,0.5
15,0.500305,2.73,0,2.73,0,13.65,0.500305,0.500305,0.500305,0.500305,0.500305,0.500305
20,0.500458,3.64,0,3.64,0,18.2,0.500458,0.500458,0.500458,0.500458,0.500458,0.500458
25,0.500733,4.55,0,4.55,0,22.75,0.500733,0.500733,0.500733,0.500733,0.500733,0.500733
30,0.500916,5.46,0,5.46,0,27.3,0.500916,0.500916,0.500916,0.500916,0.500916,0.500916
35,0.501177,6.37,0,6.37,0,31.85,0.501177,0.501177,0.501177,0.501177,0.501177,0.501177
40,0.501374,7.28,0,7.28,0,36.4,0.501374,0.501374,0.501374,0.501374,0.501374,0.501374
45,0.501628,8.19,0,8.19,0,40.95,0.501628,0.501628,0.501628,0.501628,0.501628,0.501628
50,0.501832,9.1,0,9.1,0,45.5,0.501832,0.501832,0.501832,0.501832,0.501832,0.501832
55,0.502082,10.0083,0,10.0083,0,50.0417,0.502082,0.502082,0.502082,0.502082,0.502082,0.502082
60,0.50229,10.9167,0,10.9167,0,54.5833,0.50229,0.50229,0.50229,0.50229,0.50229,0.50229
65,0.502537,11.825,0,11.825,0,59.125,0.502537,0.502537,0.502537,0.502537,0.502537,0.502537
70,0.502749,12.7333,0,12.7333,0,63.6667,0.502749,0.502749,0.502749,0.502749,0.502749,0.502749
75,0.502993,13.6417,0,13.6417,0,68.2083,0.502993,0.502993,0.502993,0.502993,0.502993,0.502993
80,0.503207,14.55,0,14.55,0,72.75,0.503207,0.503207,0.503207,0.503207,0.503207,0.503207
85,0.50345,15.4583,0,15.4583,0,77.2917,0.50345,0.50345,0.50345,0.50345,0.50345,0.50345
90,0.503666,16.3667,0,16.3667,0,81.8333,0.503666,0.503666,0.503666,0.503666,0.503666,0.503666
95,0.717714,17.4983,0.00166667,17.5,0,87.5,0.717714,0.717714,0.717714,0.717714,0.717714,0.717714
100,0.50375,19.9967,0.00333333,20,0,100,0.50375,0.50375,0.50375,0.50375,0.50375,0.50375
105,1.00325,19.995,0.005,20,0,100,1.00325,1.00325,1.00325,1.00325,1.00325,1.00325
110,1.50267,19.9933,0.00666667,20,0,100,1.50267,1.50267,1.50267,1.50267,1.50267,1.50267
115,2.002,19.9917,0.00833333,20,0,100,2.002,2.002,2.002,2.002,2.002,2.002
120,2.50125,19.99,0.01,20,0,100,2.50125,2.50125,2.50125,2.50125,2.50125,2.50125
125,3.00042,19.9883,0.0116667,20,0,100,3.00042,3.00042,3.00042,3.00042,3.00042,3.00042
130,3.4995,19.9867,0.0133333,20,0,100,3.4995,3.4995,3.4995,3.4995,3.4995,3.4995
135,3.9985,19.985,0.015,20,0,100,3.9985,3.9985,3.9985,3.9985,3.9985,3.9985
140,4.49742,19.9833,0.0166667,20,0,100,4.49742,4.49742,4.49742,4.49742,4.49742,4.49742
145,53.432,5.88433,14.1157,20,0,100,53.432,53.432,53.432,53.432,53.432,53.432
150,53.4415,5.927,14.073,20,0,100,53.4415,53.4415,53.4415,53.4415,53.4415,53.4415
155,53.4509,5.93367,14.0663,20,0,100,53.4509,53.4509,53.4509,53.4509,53.4509,53.4509
160,53.4602,5.927,14.073,20,0,100,53.4602,53.4602,53.4602,53.4602,53.4602,53.4603
165,53.4695,5.907,14.093,20,0,100,53.4695,53.4695,53.4695,53.4695,53.4695,53.4695
170,53.4787,5.946,14.054,20,0,100,53.4787,53.4787,53.4787,53.4787,53.4787,53.4787
175,53.4877,5.92467,14.0753,20,0,100,53.4877,53.4877,53.4877,53.4877,53.4877,53.4877
180,53.4968,5.95233,14.0477,20,0,100,53.4967,53.4968,53.4967,53.4968,53.4967,53.4968
185,53.5057,5.94667,14.0533,20,0,100,53.5057,53.5057,53.5057,53.5057,53.5057,53.5057
190,53.5145,5.88933,14.1107,20,0,100,53.5145,53.5145,53.5145,53.5145,53.5145,53.5145
195,53.5233,5.918,14.082,20,0,100,53.5232,53.5233,53.5232,53.5233,53.5232,53.5233
200,53.5319,5.93067,14.0693,20,0,100,53.5319,53.5319,53.5319,53.5319,53.5319,53.5319
