ArrivalRate,device_write,cpus,memory,cpuLoad,size,Throughput,ResponseTime
10,10mb,0.5,256m,0,0,10.0,3.9
10,10mb,0.5,256m,100,0,10.0,7.1
10,10mb,0.5,256m,1000,0,10.0,4.1
10,10mb,0.5,256m,0,250,10.0,4.7
10,10mb,0.5,256m,100,250,10.0,4.1
10,10mb,0.5,256m,1000,250,10.0,4.1
10,10mb,0.5,256m,0,1000,10.0,3.5
10,10mb,0.5,256m,100,1000,10.0,3.5
10,10mb,0.5,256m,1000,1000,10.0,3.5
20,10mb,0.5,256m,0,0,9.7,2421.8
20,10mb,0.5,256m,100,0,9.1,5525.0
20,10mb,0.5,256m,1000,0,9.8,3888.0
20,10mb,0.5,256m,0,250,9.3,5566.5
20,10mb,0.5,256m,100,250,10.0,4067.8
20,10mb,0.5,256m,1000,250,10.3,2197.1
20,10mb,0.5,256m,0,1000,10.9,947.6
20,10mb,0.5,256m,100,1000,10.2,620.6
20,10mb,0.5,256m,1000,1000,9.8,872.5
40,10mb,0.5,256m,0,0,6.2,20687.8
40,10mb,0.5,256m,100,0,5.3,25949.8
40,10mb,0.5,256m,1000,0,5.5,26160.0
40,10mb,0.5,256m,0,250,4.7,31722.8
40,10mb,0.5,256m,100,250,4.4,34308.4
40,10mb,0.5,256m,1000,250,5.5,33982.6
40,10mb,0.5,256m,0,1000,4.6,12655.4
40,10mb,0.5,256m,100,1000,5.4,8827.8
40,10mb,0.5,256m,1000,1000,4.8,13305.7
75,10mb,0.5,256m,0,0,6.4,72830.4
75,10mb,0.5,256m,100,0,6.1,70846.7
75,10mb,0.5,256m,1000,0,6.0,74856.2
75,10mb,0.5,256m,0,250,5.8,72420.6
75,10mb,0.5,256m,100,250,5.5,65709.8
75,10mb,0.5,256m,1000,250,6.3,68830.1
75,10mb,0.5,256m,0,1000,6.0,41362.8
75,10mb,0.5,256m,100,1000,6.2,43232.5
75,10mb,0.5,256m,1000,1000,5.7,44284.8
100,10mb,0.5,256m,0,0,7.3,85109.7
100,10mb,0.5,256m,100,0,6.9,87438.5
100,10mb,0.5,256m,1000,0,6.9,92927.9
100,10mb,0.5,256m,0,250,7.2,91212.8
100,10mb,0.5,256m,100,250,7.2,95736.2
100,10mb,0.5,256m,1000,250,7.4,89111.6
100,10mb,0.5,256m,0,1000,6.9,63141.0
100,10mb,0.5,256m,100,1000,6.7,64389.4
100,10mb,0.5,256m,1000,1000,6.8,63962.2
10,10mb,0.5,512m,0,0,10.0,4.0
10,10mb,0.5,512m,100,0,10.0,7.3
10,10mb,0.5,512m,1000,0,10.0,4.0
10,10mb,0.5,512m,0,250,10.0,4.0
10,10mb,0.5,512m,100,250,10.0,3.9
10,10mb,0.5,512m,1000,250,10.0,3.9
10,10mb,0.5,512m,0,1000,10.0,3.4
10,10mb,0.5,512m,100,1000,10.0,3.4
10,10mb,0.5,512m,1000,1000,10.0,3.5
20,10mb,0.5,512m,0,0,20.0,340.8
20,10mb,0.5,512m,100,0,13.7,663.6
20,10mb,0.5,512m,1000,0,19.9,287.3
20,10mb,0.5,512m,0,250,19.7,239.6
20,10mb,0.5,512m,100,250,14.5,335.1
20,10mb,0.5,512m,1000,250,17.0,697.8
20,10mb,0.5,512m,0,1000,20.0,170.8
20,10mb,0.5,512m,100,1000,20.0,336.0
20,10mb,0.5,512m,1000,1000,16.2,315.3
40,10mb,0.5,512m,0,0,10.6,12910.5
40,10mb,0.5,512m,100,0,10.8,11454.3
40,10mb,0.5,512m,1000,0,10.3,11392.3
40,10mb,0.5,512m,0,250,10.8,11378.7
40,10mb,0.5,512m,100,250,10.5,11293.2
40,10mb,0.5,512m,1000,250,10.5,11159.4
40,10mb,0.5,512m,0,1000,10.4,4829.2
40,10mb,0.5,512m,100,1000,10.7,3824.2
40,10mb,0.5,512m,1000,1000,10.8,3677.4
