ArrivalRate,device_write,cpus,memory,cpuLoad,size,Throughput,ResponseTime
120,15mb,1.5,768m,750,500,14.3,26607.3
60,7mb,0.75,384m,250,100,6.0,40599.5
120,15mb,1.5,768m,250,750,15.6,31569.3
30,15mb,0.75,384m,50,500,15.0,2512.5
15,7mb,0.75,768m,50,750,15.0,4.1
120,7mb,0.75,384m,50,100,7.6,79582.9
60,15mb,0.75,384m,250,750,14.4,14986.3
15,15mb,0.75,768m,750,100,15.0,4.1
120,7mb,0.75,768m,750,500,10.0,68121.7
15,15mb,1.5,768m,50,500,15.0,4.0
120,7mb,1.5,768m,50,500,9.8,67006.4
90,7mb,1.5,768m,250,100,8.7,53195.3
90,7mb,1.5,384m,250,750,7.1,79471.8
90,7mb,1.5,768m,750,750,8.7,51110.9
120,7mb,0.75,768m,50,750,10.0,66611.4
15,7mb,1.5,768m,250,750,15.0,4.0
120,7mb,0.75,384m,50,750,8.2,76113.9
120,15mb,1.5,384m,750,100,10.6,42112.4
90,7mb,1.5,768m,750,100,8.7,51915.2
90,15mb,0.75,768m,750,750,15.7,23389.2
120,15mb,0.75,768m,50,100,15.6,31259.1
30,15mb,0.75,384m,250,500,15.6,2855.2
30,7mb,1.5,768m,250,500,10.3,5305.3
60,15mb,1.5,768m,250,500,16.3,8362.5
30,15mb,1.5,384m,750,750,13.7,5077.2
60,15mb,1.5,384m,50,750,14.0,15391.4
60,7mb,1.5,768m,250,750,7.8,29642.4
120,7mb,0.75,384m,50,500,7.8,72930.0
120,7mb,1.5,768m,50,500,9.8,66246.4
120,15mb,1.5,768m,250,100,15.9,24263.2
